hhid,sectiona1,sectiona2,sectiona3,sectiona4,sectiona5,sectiona6,sectiona7,sectiona8,sectiona9,sectiona10
11,1,male,46,household head,married,yes,did not complete any schooling,yes,,agriculture
11,2,female,36,spouse,married,yes,,yes,,household work
11,3,female,15,child,single,yes,6th grade,no,student,
11,4,male,12,child,single,yes,4th grade,no,student,
11,5,female,10,child,,yes,1st grade,no,student,
11,6,female,2,child,,no,,,,
12,1,male,46,household head,married,yes,adult literacy program,yes,,agriculture
12,2,female,39,spouse,married,yes,did not complete any schooling,yes,,household work
12,3,male,21,child,single,yes,6th grade,no,student,
12,4,female,19,child,single,yes,5th grade,no,student,
12,5,male,13,child,single,yes,3rd grade,no,student,
12,6,female,9,child,,yes,1st grade,no,student,
12,7,female,5,child,,yes,did not complete any schooling,no,too young,
12,8,male,16,other relation,single,yes,did not complete any schooling,yes,,agriculture
12,9,male,6,grandchild,,yes,did not complete any schooling,no,too young,
13,1,male,36,household head,married,yes,did not complete any schooling,yes,,agriculture
13,2,female,33,spouse,married,yes,did not complete any schooling,yes,,household work
13,3,male,9,child,,yes,1st grade,no,student,
13,4,male,7,child,,yes,1st grade,no,student,
13,5,female,4,child,,no,,,,
13,6,male,1,child,,no,,,,
14,1,male,67,household head,married,yes,did not complete any schooling,yes,,agriculture
14,2,female,63,spouse,married,yes,did not complete any schooling,yes,,fisheries
14,3,male,19,child,single,yes,4th grade,no,student,
14,4,male,19,not related,single,yes,3rd grade,no,student,
15,1,male,36,household head,married,yes,did not complete any schooling,yes,,agriculture
15,2,female,24,household head,married,yes,did not complete any schooling,yes,,household work
15,3,female,3,child,,no,,,,
15,4,male,7,child,,yes,did not complete any schooling,no,student,
15,5,female,12,child,,yes,1st grade,no,student,
16,1,male,47,household head,married,yes,did not complete any schooling,yes,,agriculture
16,2,female,32,spouse,married,yes,did not complete any schooling,yes,,household work
16,3,female,17,child,divorced,yes,5th grade,yes,,household work
16,4,female,13,child,single,yes,5th grade,no,student,
16,5,male,9,child,,yes,2nd grade,no,student,
16,6,male,0,child,,no,,,,
17,1,male,45,household head,married,yes,5th grade,yes,,agriculture
17,2,female,35,spouse,married,yes,4th grade,yes,,household work
17,1,male,14,child,single,yes,7th grade,no,student,
17,4,male,11,child,,yes,5th grade,no,student,
17,5,female,8,child,,yes,3rd grade,no,student,
17,6,female,5,child,,yes,did not complete any schooling,no,too young,
18,1,male,27,household head,married,yes,2nd grade,yes,,agriculture
18,2,female,22,spouse,married,yes,did not complete any schooling,yes,,household work
18,3,female,5,child,,yes,did not complete any schooling,no,too young,
19,1,male,50,household head,married,yes,did not complete any schooling,yes,,agriculture
19,2,female,45,spouse,married,yes,did not complete any schooling,yes,,household work
19,3,female,15,child,single,yes,5th grade,no,student,
19,4,male,10,child,,yes,1st grade,no,student,agriculture
19,5,female,33,other relation,divorced,yes,did not complete any schooling,yes,,household work
19,6,male,5,grandchild,,yes,did not complete any schooling,no,sick,
19,7,male,10,grandchild,,yes,did not complete any schooling,yes,,agriculture
20,1,male,40,household head,married,yes,did not complete any schooling,yes,,agriculture
20,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
20,3,male,18,child,single,yes,1st grade,yes,,agriculture
20,4,male,16,child,single,yes,6th grade,no,student,
20,5,female,17,child,single,yes,5th grade,no,student,
20,6,female,7,child,,yes,did not complete any schooling,no,student,
20,7,male,4,child,,no,,,,
20,8,female,2,child,,no,,,,
21,1,male,30,household head,married,yes,2nd grade,yes,,agriculture
22,1,male,44,household head,married,yes,did not complete any schooling,yes,,agriculture
22,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
22,3,male,18,child,single,yes,6th grade,yes,,agriculture
22,4,male,12,child,single,yes,3rd grade,no,student,
22,5,female,8,child,,yes,1st grade,no,student,
22,6,female,8,child,,yes,did not complete any schooling,no,too young,
23,1,male,70,household head,married,yes,adult literacy program,yes,,agriculture
23,2,female,53,spouse,married,yes,did not complete any schooling,yes,,household work
23,3,female,25,child,divorced,yes,10nth grade,yes,,household work
23,4,male,3,grandchild,,no,,,,
24,1,male,57,household head,married,yes,did not complete any schooling,yes,,agriculture
24,2,female,50,spouse,married,yes,did not complete any schooling,yes,,household work
24,3,female,15,child,widowed,yes,did not complete any schooling,yes,,household work
24,4,female,12,child,single,yes,1st grade,no,student,
24,5,female,10,child,,yes,4th grade,no,student,
24,6,female,8,child,,yes,did not complete any schooling,no,student,
24,7,male,0,child,,no,,,,
25,1,male,48,household head,married,yes,did not complete any schooling,yes,,agriculture
25,2,female,28,spouse,married,yes,3rd grade,yes,,household work
25,3,male,12,child,single,yes,2nd grade,no,student,
25,4,male,3,child,,no,,,,
25,5,female,7,other relation,,yes,did not complete any schooling,no,student,
25,101,female,19,child,married,yes,7th grade,no,student,
26,1,male,38,household head,married,yes,4th grade,yes,,agriculture
26,2,female,32,spouse,married,yes,did not complete any schooling,yes,,household work
26,3,female,17,child,single,yes,9th grade,no,student,
26,4,male,14,child,single,yes,2nd grade,no,student,
