hhid,sectionb3,sectionb4,sectionb5,sectionb6,sectionb7,sectionb8,sectionb9,sectionb10,sectionb11,sectionb12,sectionb13,sectionb14,sectionb15
11,lem (fertile),2,1.25,gemad,.3125,0,,,,1,1,gemad,.25
11,lem-teuf,0,,,,0,,,,1,.5,gemad,.125
11,teuf(infertile),1,.25,gemad,.0625,0,,,,2,.5,gemad,.125
12,lem (fertile),0,,,,0,,,,1,1.5,gezem,.1875
12,lem-teuf,4,8,gezem,1,0,,,,2,3.5,gezem,.4375
12,teuf(infertile),1,1,gezem,.125,0,,,,1,1.5,gezem,.186
13,lem (fertile),4,9,gezem,1.125,0,,,,5,16,gezem,2
13,lem-teuf,0,,,,0,,,,0,,,
13,teuf(infertile),0,,,,0,,,,0,,,
14,lem (fertile),0,,,,0,,,,1,1.5,timad,.375
14,lem-teuf,3,5.5,timad,1.375,0,,,,1,1,timad,.25
14,teuf(infertile),0,,,,0,,,,0,,,
15,lem (fertile),1,2,gemad,.5,0,,,,3,3,gemad,.75
15,lem-teuf,0,,,,0,,,,0,,,
15,teuf(infertile),1,2,gemad,.5,0,,,,0,,,
16,lem (fertile),3,6,timad,1.5,0,,,,0,,,
16,lem-teuf,1,1,timad,.25,0,,,,0,,,
16,teuf(infertile),1,.5,timad,.125,0,,,,0,,,
17,lem (fertile),3,5.5,timad,.1375,0,,,,2,2.5,timad,.625
17,lem-teuf,1,1,timad,.25,0,,,,0,,,
17,teuf(infertile),0,,,,0,,,,0,,,
18,lem (fertile),1,.5,gemad,.125,0,,,,0,,,
18,lem-teuf,0,,,,0,,,,2,2,gemad,.5
18,teuf(infertile),0,,,,0,,,,0,,,
19,lem (fertile),2,4,timad,1,0,,,,0,,,
19,lem-teuf,4,5,timad,1.25,0,,,,1,1,timad,.25
19,teuf(infertile),1,1,timad,.25,0,,,,1,2,timad,.5
20,lem (fertile),4,10,gezem,1.25,0,,,,0,,,
20,lem-teuf,0,,,,0,,,,0,,,
20,teuf(infertile),0,,,,0,,,,0,,,
21,lem (fertile),0,,,,0,,,,0,,,
21,lem-teuf,1,1,timad,.25,0,,,,1,.5,timad,.125
21,teuf(infertile),0,,,,0,,,,0,,,
22,lem (fertile),1,1,gezem,.125,0,,,,2,2.5,gezem,.3125
22,lem-teuf,2,4,gezem,.5,0,,,,0,,,
22,teuf(infertile),2,1.5,gezem,.1875,0,,,,0,,,
23,lem (fertile),3,7.5,gezem,.9375,0,,,,0,,,
23,lem-teuf,0,,,,0,,,,0,,,
23,teuf(infertile),0,,,,0,,,,0,,,
24,lem (fertile),0,,,,0,,,,0,,,
24,lem-teuf,2,5,gezem,.625,0,,,,1,2,gezem,.25
24,teuf(infertile),1,2,gezem,.25,0,,,,0,,,
25,lem (fertile),3,3.5,gemad,.875,0,,,,0,,,
25,lem-teuf,0,,,,0,,,,1,1,gemad,.25
25,teuf(infertile),0,,,,0,,,,2,2.25,gemad,.5625
26,lem (fertile),3,10,gezem,1.25,0,,,,4,7,gezem,.875
26,lem-teuf,0,,,,0,,,,0,,,
26,teuf(infertile),0,,,,0,,,,0,,,
27,lem (fertile),1,9,gezem,1.125,0,,,,0,,,
27,lem-teuf,1,1,gezem,.125,0,,,,0,,,
27,teuf(infertile),0,,,,0,,,,0,,,
28,lem (fertile),0,,,,0,,,,0,,,
28,lem-teuf,0,,,,1,1,gezem,.125,0,,,
28,teuf(infertile),1,1,gezem,.25,2,7,gezem,.875,0,,,
29,lem (fertile),2,7,gezem,.875,0,,,,0,,,
29,lem-teuf,0,,,,0,,,,2,3,gezem,.375
29,teuf(infertile),0,,,,0,,,,0,,,
30,lem (fertile),1,1.5,timad,.375,0,,,,1,1.5,timad,.375
30,lem-teuf,2,3.5,timad,.875,0,,,,2,3,timad,.75
30,teuf(infertile),1,1,timad,.25,0,,,,0,,,
354,lem (fertile),2,4,kert,1,0,,,,0,,,
354,lem-teuf,0,,,,0,,,,0,,,
354,teuf(infertile),2,4,kert,1,0,,,,0,,,
355,lem (fertile),2,4,kert,1,0,,,,1,2,kert,.5
355,lem-teuf,1,3,kert,.75,0,,,,1,2,kert,.5
355,teuf(infertile),0,,,,0,,,,0,,,
356,lem (fertile),3,17,kert,4.25,0,,,,0,,,
356,lem-teuf,1,4,kert,1,0,,,,0,,,
356,teuf(infertile),0,,,,0,,,,0,,,
357,lem (fertile),1,1,kert,.25,0,,,,0,,,
357,lem-teuf,1,2,kert,.5,0,,,,1,2,kert,.5
357,teuf(infertile),0,,,,0,,,,1,2,kert,.5
358,lem (fertile),0,,,,0,,,,0,,,
358,lem-teuf,3,10,kert,2.5,0,,,,0,,,
358,teuf(infertile),3,4,kert,1,0,,,,0,,,
359,lem (fertile),1,5,kert,1.25,0,,,,0,,,
359,lem-teuf,1,3,kert,.75,0,,,,0,,,
359,teuf(infertile),0,,,,0,,,,0,,,
31,lem (fertile),0,,,,0,,,,1,5,gezem,.625
31,lem-teuf,1,2,gezem,.25,0,,,,3,9,gezem,1.125
31,teuf(infertile),0,,,,0,,,,0,,,
32,lem (fertile),0,,,,0,,,,2,3,timad,.75
32,lem-teuf,1,2,timad,.5,0,,,,1,1,timad,.25
32,teuf(infertile),0,,,,0,,,,0,,,
33,lem (fertile),2,1.5,timad,.375,0,,,,1,1,timad,.25
33,lem-teuf,0,,,,0,,,,0,,,
33,teuf(infertile),0,,,,0,,,,0,,,
34,lem (fertile),2,4,gezem,.5,0,,,,1,2,gezem,.25
34,lem-teuf,0,,,,0,,,,0,,,
34,teuf(infertile),0,,,,0,,,,0,,,
35,lem (fertile),1,2.5,timad,.625,0,,,,1,2,timad,.5
35,lem-teuf,1,1.5,timad,.375,0,,,,0,,,
35,teuf(infertile),0,,,,0,,,,2,1.5,timad,.375
36,lem (fertile),2,1.5,timad,.375,0,,,,0,,,
36,lem-teuf,0,,,,0,,,,0,,,
36,teuf(infertile),2,1,timad,.25,0,,,,0,,,
121,lem (fertile),3,4.5,kert,1.125,0,,,,0,,,
121,lem-teuf,5,17,kert,4.25,0,,,,0,,,
121,teuf(infertile),0,,,,0,,,,0,,,
122,lem (fertile),1,.5,kert,.125,1,2,kert,.5,1,2,kert,.5
122,lem-teuf,1,1.5,kert,.375,0,,,,0,,,
122,teuf(infertile),0,,,,0,,,,0,,,
123,lem (fertile),2,4,kert,1,0,,,,0,,,
123,lem-teuf,2,2.5,kert,.625,1,1,kert,.25,1,1.5,kert,.375
123,teuf(infertile),0,,,,0,,,,0,,,
124,lem (fertile),3,2,kert,.5,0,,,,0,,,
124,lem-teuf,1,2.5,kert,.625,4,7,kert,1.75,0,,,
124,teuf(infertile),0,,,,0,,,,0,,,
125,lem (fertile),6,8.5,kert,2.125,0,,,,0,,,
125,lem-teuf,0,,,,2,5,kert,1.25,0,,,
125,teuf(infertile),0,,,,0,,,,0,,,
126,lem (fertile),1,3,kert,.75,0,,,,0,,,
126,lem-teuf,1,.75,kert,.1875,1,2,kert,.5,0,,,
126,teuf(infertile),0,,,,0,,,,0,,,
127,lem (fertile),5,13,kert,3.25,0,,,,3,6,kert,1.5
127,lem-teuf,0,,,,0,,,,4,10,kert,2.5
127,teuf(infertile),0,,,,0,,,,0,,,
129,lem (fertile),3,6,kert,1.5,0,,,,0,,,
129,lem-teuf,3,4.5,kert,1.125,0,,,,4,3.75,kert,.9375
129,teuf(infertile),0,,,,0,,,,0,,,
130,lem (fertile),2,4,kert,1,0,,,,0,,,
130,lem-teuf,0,,,,0,,,,0,,,
130,teuf(infertile),0,,,,0,,,,0,,,
131,lem (fertile),2,5,kert,1.25,0,,,,0,,,
131,lem-teuf,6,16,kert,4,1,2,kert,.5,0,,,
131,teuf(infertile),0,,,,0,,,,0,,,
132,lem (fertile),3,4,kert,1,0,,,,0,,,
132,lem-teuf,4,5,kert,1.25,0,,,,1,2,kert,.5
132,teuf(infertile),0,,,,0,,,,0,,,
133,lem (fertile),1,4,kert,1,0,,,,0,,,
133,lem-teuf,2,4,kert,1,0,,,,0,,,
133,teuf(infertile),0,,,,0,,,,0,,,
134,lem (fertile),3,3,kert,.75,1,1,kert,.25,0,,,
134,lem-teuf,5,5,kert,1.25,1,1,kert,.25,0,,,
134,teuf(infertile),1,6,kert,1.5,0,,,,0,,,
135,lem (fertile),1,8,kert,2,0,,,,1,8,kert,2
135,lem-teuf,0,,,,0,,,,0,,,
135,teuf(infertile),0,,,,0,,,,0,,,
136,lem (fertile),1,.5,kert,.125,0,,,,1,1,kert,.25
136,lem-teuf,0,,,,0,,,,0,,,
136,teuf(infertile),0,,,,0,,,,0,,,
137,lem (fertile),1,1,kert,.25,0,,,,0,,,
137,lem-teuf,2,2.5,kert,.625,0,,,,0,,,
137,teuf(infertile),0,,,,0,,,,0,,,
138,lem (fertile),2,3,kert,.75,0,,,,0,,,
138,lem-teuf,0,,,,0,,,,0,,,
138,teuf(infertile),0,,,,0,,,,0,,,
139,lem (fertile),8,20.5,kert,5.125,0,,,,0,,,
139,lem-teuf,0,,,,0,,,,0,,,
139,teuf(infertile),0,,,,0,,,,0,,,
140,lem (fertile),0,,,,0,,,,2,12,kert,3
140,lem-teuf,1,2,kert,.5,0,,,,3,6,kert,1.5
140,teuf(infertile),0,,,,0,,,,0,,,
141,lem (fertile),1,1,kert,.25,0,,,,3,8.5,kert,2.125
141,lem-teuf,0,,,,0,,,,0,,,
141,teuf(infertile),0,,,,0,,,,0,,,
142,lem (fertile),7,15.25,kert,3.8125,0,,,,0,,,
142,lem-teuf,0,,,,0,,,,0,,,
142,teuf(infertile),0,,,,0,,,,0,,,
143,lem (fertile),1,1,kert,.25,0,,,,0,,,
143,lem-teuf,1,1,kert,.25,0,,,,0,,,
143,teuf(infertile),0,,,,0,,,,0,,,
144,lem (fertile),2,9,kert,2.25,0,,,,0,,,
144,lem-teuf,1,8,kert,2,0,,,,0,,,
144,teuf(infertile),0,,,,0,,,,0,,,
145,lem (fertile),2,4,kert,1,0,,,,0,,,
145,lem-teuf,2,3,kert,.075000003,0,,,,0,,,
