hhid,sectionc1,sectionc2a,sectionc2b,sectionc2c,sectionc3,sectionc4,sectionc5,sectionc6,sectionc7,sectionc8,sectionc9a,sectionc9b,sectionc10,sectionc11,sectionc12,sectionc13
11,1,.25,gemad,.0625,lem,0,rain,25,yes,allocated by government,yes,yes,,,annual crop,1
11,2,1,gemad,.25,lem,30,rain,25,yes,allocated by government,yes,yes,,,annual crop,2
11,3,.25,gemad,.0625,teuf,25,rain,15,yes,allocated by government,yes,yes,,,annual crop,1
11,4,.5,gemad,.125,lem-teuf,40,rain,4,"no, we share-cropped in",,,,.5,not available,annual crop,1
11,5,1,gemad,.25,lem,50,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
11,6,.25,gemad,.125,teuf,50,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
11,7,.25,gemad,.0625,teuf,15,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
12,1,2,gezem,.25,lem-teuf,3,rain,20,yes,allocated by government,yes,yes,,,annual crop,1
12,2,1,gezem,.125,teuf,3,rain,20,yes,allocated by government,yes,yes,,,annual crop,1
12,3,2,gezem,.25,lem-teuf,4,rain,21,yes,allocated by family,yes,yes,,,annual crop,1
12,4,2,gezem,.25,lem-teuf,10,rain,21,yes,allocated by family,yes,yes,,,annual crop,1
12,5,2,gezem,.25,lem-teuf,4,rain,15,yes,allocated by government,yes,yes,,,annual crop,1
12,6,1.5,gezem,.1875,teuf,3,rain,20,"no, we share-cropped in",,,,.5,not available,annual crop,1
12,7,2,gezem,.25,lem-teuf,20,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
12,8,1.5,gezem,.1875,lem-teuf,60,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
12,9,1.5,gezem,.1875,lem,4,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
13,1,3,gezem,.375,lem,20,rain,15,yes,allocated by government,yes,yes,,,annual crop,1
13,2,3,gezem,.375,lem,30,both,18,yes,allocated by family,yes,yes,,,annual crop,2
13,3,1,gezem,.125,lem,1,rain,15,yes,allocated by government,yes,yes,,,annual crop,2
13,4,2,gezem,.25,lem,5,rain,15,yes,allocated by government,yes,yes,,,annual crop,1
13,5,2,gezem,.25,lem,3,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
13,6,5,gezem,.625,lem,20,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
13,7,4,gezem,.5,teuf,30,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
13,8,3,gezem,.375,lem,15,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
13,9,4,other,.5,lem,5,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
13,10,2,gezem,.375,lem,30,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
14,1,1.5,timad,.375,lem-teuf,1,rain,47,yes,inherited,yes,yes,,,annual crop,1
14,2,2.5,timad,.625,lem-teuf,10,rain,35,yes,barter,yes,yes,,,annual crop,1
14,3,1.5,timad,.375,lem-teuf,3,rain,4,yes,allocated by family,yes,yes,,,annual crop,2
14,4,1,timad,.25,lem-teuf,60,rain,30,"no, we share-cropped in",,,,.5,not available,annual crop,1
14,5,1.5,timad,.375,lem,10,rain,30,"no, we share-cropped in",,,,.5,not available,annual crop,2
15,1,2,gemad,.5,lem,30,rain,15,yes,allocated by government,yes,yes,,,annual crop,1
15,2,2,gemad,.5,teuf,3,rain,15,yes,allocated by government,yes,yes,,,annual crop,1
15,3,1,gemad,.25,lem,30,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,2
15,4,1,gemad,.25,lem,25,rain,5,"no, we share-cropped in",,,,.5,not available,annual crop,2
15,5,1,gemad,.25,lem,60,rain,3,"no, we share-cropped in",,,,.5,not available,annual crop,1
16,1,2,timad,.5,lem,30,rain,26,yes,allocated by government,yes,yes,,,annual crop,1
16,2,1,timad,.25,lem,0,rain,26,yes,allocated by government,yes,yes,,,annual crop,1
16,3,3,timad,.75,lem,15,rain,25,yes,allocated by government,yes,yes,,,annual crop,2
16,4,.5,timad,.125,teuf,30,rain,26,yes,allocated by government,yes,yes,,,annual crop,1
16,5,1,timad,.25,lem-teuf,10,rain,25,yes,allocated by government,yes,yes,,,annual crop,2
17,1,1,timad,.25,lem,30,rain,15,yes,allocated by government,yes,yes,,,annual crop,1
17,2,1,timad,.25,lem-teuf,15,rain,21,yes,allocated by government,yes,yes,,,annual crop,1
17,3,4,timad,1,lem,15,rain,21,yes,allocated by government,yes,yes,,,annual crop,2
17,4,.5,timad,.125,lem,0,both,21,yes,allocated by government,yes,yes,,,annual crop,2
17,5,1.5,timad,.375,lem,30,rain,4,"no, we share-cropped in",,,,.5,,annual crop,1
17,6,1,timad,.25,lem,15,rain,4,"no, we share-cropped in",,,,.5,,annual crop,1
18,1,.5,gemad,.125,lem,0,rain,5,yes,allocated by family,yes,yes,,,annual crop,2
18,2,1,gemad,.25,lem-teuf,30,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
18,3,1,gemad,.25,lem-teuf,20,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
19,1,1,timad,.25,lem,15,rain,30,yes,allocated by government,yes,yes,,,annual crop,1
19,2,1.5,timad,.375,lem-teuf,20,rain,40,yes,allocated by family,yes,yes,,,annual crop,1
19,3,1.5,timad,.375,lem-teuf,10,rain,29,yes,allocated by government,yes,yes,,,annual crop,1
19,4,3,timad,.75,lem,1,rain,40,yes,allocated by family,yes,yes,,,annual crop,2
19,5,1,timad,.25,lem-teuf,8,rain,40,yes,allocated by family,yes,yes,,,annual crop,2
19,6,1,timad,.25,lem-teuf,30,rain,29,yes,allocated by government,yes,yes,,,annual crop,1
19,7,1,timad,.25,lem-teuf,5,irrigation,40,yes,allocated by family,yes,yes,,,annual crop,1
19,8,1,timad,.25,lem-teuf,10,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
19,9,2,timad,.5,teuf,30,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
20,1,4,other,.5,lem,40,rain,15,yes,allocated by government,yes,yes,,,annual crop,1
20,2,3,other,.375,lem,5,rain,19,yes,allocated by family,yes,yes,,,annual crop,1
20,3,3,other,.375,lem,40,rain,15,yes,allocated by government,yes,yes,,,annual crop,1
21,1,1,timad,.25,lem-teuf,20,rain,3,yes,allocated by family,yes,yes,,,annual crop,2
21,2,.5,timad,.125,lem-teuf,20,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
22,1,1,gezem,.125,lem,8,rain,18,yes,allocated by government,yes,yes,,,annual crop,1
22,2,2,gezem,.25,lem-teuf,60,rain,20,yes,allocated by government,yes,yes,,,annual crop,1
22,3,2,gezem,.25,lem-teuf,6,rain,20,yes,allocated by government,yes,yes,,,annual crop,1
22,4,1,gezem,.125,teuf,4,rain,20,yes,allocated by government,yes,yes,,,annual crop,1
22,5,.5,gezem,.0625,teuf,1,rain,18,yes,allocated by government,yes,yes,,,annual crop,1
22,6,2,gezem,.25,lem,5,both,1,"no, we share-cropped in",,,,.5,not available,annual crop,2
22,7,.5,gezem,.0625,lem,4,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
23,1,5,gezem,.625,lem,40,rain,60,yes,allocated by family,yes,yes,,,annual crop,1
23,2,1.5,gezem,.1875,lem,0,rain,15,yes,allocated by government,yes,yes,,,annual crop,1
23,3,1,gezem,.125,lem,40,rain,60,yes,allocated by family,yes,yes,,,annual crop,1
24,1,2,gezem,.25,lem-teuf,0,rain,32,yes,allocated by government,yes,yes,,,annual crop,1
24,2,3,gezem,.375,lem-teuf,25,rain,32,yes,allocated by government,yes,yes,,,annual crop,1
24,3,2,gezem,.25,teuf,3,rain,32,yes,allocated by government,yes,yes,,,annual crop,1
24,4,2,gezem,.25,lem-teuf,5,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
25,1,2,gemad,.5,lem,30,both,21,yes,allocated by government,yes,yes,,,annual crop,3
25,2,1,gemad,.25,lem,0,rain,25,yes,allocated by government,yes,yes,,,annual crop,1
25,3,.5,gemad,.125,lem,2,rain,25,yes,allocated by family,yes,yes,,,annual crop,1
25,4,1.5,gemad,.375,teuf,10,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
25,5,1,gemad,.25,lem-teuf,120,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
25,6,.75,gemad,.1875,teuf,30,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
26,1,2,other,.25,lem,10,rain,15,yes,allocated by government,yes,yes,,,annual crop,1
26,2,7,other,.875,lem,60,rain,15,yes,allocated by government,yes,yes,,,annual crop,1
26,3,1,other,.125,lem,20,rain,17,yes,allocated by family,yes,yes,,,annual crop,1
26,4,1.5,other,.1875,lem,1,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
26,5,1.5,other,.1875,lem,90,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
26,6,1,other,.125,lem,1,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
26,7,3,other,.375,lem,1,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
27,1,1,gezem,.125,lem-teuf,2,rain,23,yes,allocated by family,yes,yes,,,annual crop,1
27,2,2,gezem,.25,lem,30,rain,19,yes,allocated by government,yes,yes,,,annual crop,1
27,3,7,gezem,.875,lem,30,rain,19,yes,allocated by government,yes,yes,,,annual crop,1
28,1,2,gezem,.25,teuf,30,rain,32,yes,allocated by government,"no, we sharecrop it out","no, we sharecrop it out",.5,,annual crop,1
28,2,5,gezem,.625,teuf,5,rain,32,yes,allocated by government,"no, we sharecrop it out","no, we sharecrop it out",.5,,annual crop,1
28,3,1,gezem,.125,teuf,5,rain,32,yes,allocated by government,yes,yes,,,annual crop,1
28,4,1,gezem,.125,lem-teuf,2,rain,32,yes,allocated by government,"no, we sharecrop it out","no, we sharecrop it out",.5,,annual crop,1
29,1,3,gezem,.375,lem,20,rain,5,yes,allocated by government,yes,yes,,,annual crop,1
29,2,4,gezem,.5,lem,20,rain,4,yes,allocated by family,yes,yes,,,annual crop,1
29,3,2,gezem,.25,lem-teuf,10,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
29,4,1,gezem,.125,lem-teuf,5,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
30,1,1,timad,.25,teuf,20,rain,15,yes,allocated by family,yes,yes,,,annual crop,1
30,2,2.5,timad,.625,lem-teuf,40,rain,15,yes,allocated by family,yes,yes,,,annual crop,1
30,3,1.5,timad,.375,lem,10,rain,15,yes,allocated by family,yes,yes,,,annual crop,2
30,4,1,timad,.25,lem-teuf,0,rain,15,yes,allocated by family,yes,yes,,,annual crop,1
30,5,2,timad,.5,lem-teuf,2,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
30,6,1.5,timad,.375,lem,5,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,2
30,7,1,timad,.25,lem-teuf,40,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
354,1,1,kert,.25,teuf,5,rain,25,yes,inherited,yes,yes,,,annual crop,1
354,2,3,kert,.25,teuf,10,rain,25,yes,inherited,yes,yes,,,annual crop,1
354,3,1,kert,.25,lem,5,rain,25,yes,inherited,yes,yes,,,annual crop,1
354,4,3,kert,.75,lem,20,rain,25,yes,inherited,yes,yes,,,annual crop,1
355,1,3,kert,.75,lem-teuf,30,rain,5,yes,allocated by government,yes,yes,,,annual crop,1
355,2,2,kert,.5,lem,20,rain,15,yes,allocated by government,yes,yes,,,annual crop,1
355,3,2,kert,.5,lem,30,rain,10,yes,allocated by family,yes,yes,,,annual crop,1
355,4,2,kert,.5,lem-teuf,30,rain,2,"no, we rent it from others",,,,,1333,annual crop,1
355,5,2,kert,.5,lem,30,rain,2,"no, we rent it from others",,,,,1333,annual crop,1
356,1,12,kert,3,lem,10,rain,29,yes,allocated by government,yes,yes,,,annual crop,1
356,2,4,kert,1,lem,15,rain,23,yes,inherited,yes,yes,,,annual crop,1
356,3,4,kert,1,lem-teuf,30,rain,23,yes,inherited,yes,yes,,,annual crop,1
356,4,1,kert,.25,lem,5,rain,23,yes,inherited,yes,yes,,,annual crop,1
