hhid,sectionf31,sectionf32,sectionf33,sectionf34,sectionf35,sectionf36,sectionf37,sectionf38,sectionf39,sectionf310,sectionf311
11,5,2,0,,.1,3,2,25,0,,0
11,6,1,0,,0,,1,25,0,,0
11,7,1,0,,.050000001,1,2,20,0,,0
12,1,1,0,,0,,3,7,0,,0
12,3,1,0,,.34,2,3,7,0,,0
12,6,1,0,,.16,2,3,8,0,,0
12,8,1,0,,0,,2,7,0,,0
13,1,1,.25,1,.5,3,2,30,0,,0
13,2,1,0,,0,,2,20,0,,0
13,3,1,0,,0,,2,30,0,,0
13,5,1,.25,1,.5,3,2,15,0,,0
14,1,2,.18000001,1,.25,2,1,40,40,do not know,0
14,2,1,.31999999,1,.5,2,1,40,0,,0
15,2,1,.5,1,.5,2,1,15,33,do not know,0
15,5,1,.25,1,.25,2,1,15,22,do not know,0
16,2,2,0,,.25,2,1,30,0,,0
16,4,1,0,,.25,2,2,35,0,,0
17,1,1,.1,1,.2,2,2,25,0,,0
17,3,1,.2,1,.30000001,2,2,25,0,,0
17,5,1,.12,1,.30000001,2,2,25,0,,0
17,6,1,.079999998,1,.2,2,2,25,0,,0
18,2,1,.07,1,.25,2,2,21,0,,0
18,3,1,0,0,.25,2,2,30,0,,0
19,1,1,.20999999,1,.28,2,1,25,0,,0
19,2,1,.31999999,1,.41999999,2,1,25,0,,0
19,3,1,.31999999,1,.41999999,2,1,25,0,,0
19,8,1,.20999999,1,.28,2,1,25,0,,0
19,9,1,.43000001,1,.56999999,2,1,25,0,,0
20,1,1,.5,1,1,3,2,30,0,,0
21,2,1,.090000004,1,.13,2,2,40,0,,0
22,2,1,.14,1,.16,3,1,15,0,,0
22,3,1,.14,1,.16,3,1,15,0,,0
22,4,2,.050000001,1,.079999998,3,1,15,10,do not know,0
22,5,1,.029999999,1,.079999998,3,1,15,0,,0
23,1,1,.25,1,.5,3,2,15,0,,0
24,2,1,0,,0,,3,15,0,,0
25,5,1,.059999999,1,.1,2,2,15,0,other,0
26,1,1,.25,1,.41,2,2,25,0,,0
26,1,1,.13,1,.2,2,2,15,0,,0
26,4,1,.19,1,.31,2,2,25,0,,0
26,5,1,.18000001,1,.31,2,2,25,0,,0
26,7,1,.38,1,.44999999,2,2,25,0,,0
27,2,1,.25,1,.25,2,2,15,0,,0
27,3,1,.25,1,.25,2,2,15,0,,0
28,3,1,0,,0,,3,8,0,none,0
29,1,1,.37,1,.40000001,3,1,40,0,,0
29,2,1,.18000001,1,.30000001,3,2,30,0,,0
29,3,1,.18000001,1,.30000001,3,1,60,0,,0
30,2,1,.5,1,.5,2,1,25,0,,0
30,5,1,.5,1,.5,2,1,25,70,do not know,0
354,1,1,.25,1,.1,1,0,,10,2-4-d,0
354,2,1,.75,1,.40000001,1,0,,30,2-4-d,0
355,2,1,.25,1,.25,1,1,20,40,2-4-d,15
355,4,1,.25,1,.25,1,1,25,40,2-4-d,15
356,1,1,.5,1,.25,1,1,42,30,2-4-d,0
356,1,2,1,1,.75,1,1,53,60,2-4-d,0
357,1,1,.5,1,.15000001,1,1,30,40,2-4-d,0
357,4,1,.5,1,.15000001,1,1,30,0,,0
358,1,3,.30000001,1,.15000001,1,1,30,36,2-4-d,0
358,6,1,.1,1,.5,1,1,40,12,2-4-d,0
359,1,1,.2,1,0,,1,20,40,2-4-d,0
359,2,2,.050000001,1,0,,1,10,10,2-4-d,0
31,1,2,.5,1,1,2,1,21,0,,0
31,2,1,.75,1,1.5,2,1,21,0,,0
31,4,2,.25,1,.5,2,1,21,0,,0
32,1,1,0,,.40000001,2,2,30,0,,0
32,2,1,0,,.40000001,2,2,30,0,,0
33,1,1,.12,1,.27000001,2,3,26,0,,0
34,1,1,.5,1,.5,2,1,15,0,,0
35,3,1,.25,1,.40000001,2,2,45,0,,0
35,4,1,.25,1,.40000001,2,2,45,0,,0
36,1,1,.15000001,1,.30000001,2,2,26,0,,0
36,2,1,.22,1,.44999999,2,2,29,0,,0
121,2,1,.02,1,.0099999998,1,1,30,8,2-4-d,0
121,3,2,.1,1,.050000001,1,1,30,12,2-4-d,0
121,4,5,.1,1,.050000001,1,1,40,16,2-4-d,0
121,4,6,.75,1,.1,1,1,30,24,2-4-d,0
121,5,1,.44999999,1,.029999999,1,1,24,16,2-4-d,0
121,7,1,.40000001,1,.029999999,1,1,30,20,2-4-d,0
121,8,1,.02,1,1,1,1,30,8,2-4-d,0
122,3,1,.25,1,.25,1,1,20,5,do not know,0
122,4,1,.25,1,.25,1,2,25,7.5,do not know,0
123,2,1,.60000002,1,.25,1,1,15,15,do not know,0
123,4,1,.40000001,1,.25,1,1,15,6,do not know,0
123,6,1,1.5,1,.5,1,1,15,15,do not know,0
124,4,2,.15000001,1,.050000001,1,2,30,12,2-4-d,0
124,6,1,.050000001,1,.029999999,1,2,30,6,2-4-d,0
124,7,1,.2,1,.0099999998,1,2,30,18,2-4-d,0
125,4,1,.5,2,.25,1,1,30,20,do not know,0
125,5,1,.5,2,.25,1,1,21,24,do not know,0
