hhid,sectiong0,sectiong1,sectiong2,sectiong3a,sectiong3b,sectiong3c,sectiong4,sectiong5,sectiong6,sectiong7,sectiong8,sectiong9,sectiong10,sectiong11,sectiong12,sectiong13,sectiong14,sectiong15,sectiong16,sectiong17,sectiong18,sectiong19,sectiong20,sectiong21,sectiong22,sectiong23,sectiong24,sectiong25,sectiong26
1,6,4,ginbot,1,quintal,1,white,cash,1200,1200,at wholesale market: traveling trader going to addis,there is no real difference with other traders,trader shop (fixed),yes,yes,3,own donkey,0,60,120,man,100,,no,,no,no,yes,yes
1,6,1,tir,.5,quintal,.5,white,cash,425,850,at wholesale market: traveling trader going to addis,there is no real difference with other traders,trader shop (fixed),yes,yes,1,own donkey,0,60,180,man,100,,no,,no,no,yes,yes
1,6,5,yekatit,.60000002,quintal,.60000002,white,cash,528,880,at wholesale market: traveling trader going to addis,there is no real difference with other traders,trader shop (fixed),yes,yes,2,own donkey,0,60,180,man,100,,no,,no,no,yes,yes
1,6,2,miazia,1.3,quintal,1.3,white,cash,1534,1180,at wholesale market: traveling trader going to addis,there is no real difference with other traders,trader shop (fixed),yes,yes,2,own donkey,0,60,180,man,100,,no,,no,no,yes,yes
1,6,3,tikimt,.60000002,quintal,.60000002,white,cash,816,1360,at wholesale market: traveling trader going to addis,there is no real difference with other traders,trader shop (fixed),yes,yes,3,own donkey,0,60,120,man,100,,no,,no,no,yes,yes
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,3,megabit,.5,quintal,.5,white,cash,585,1170,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,no,,own and other donkeys,0,60,180,man,100,,no,,no,no,yes,no
3,5,1,hidar,.5,quintal,.5,magna,cash,450,900,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,no,,own and other donkeys,0,60,180,man,100,,no,,no,no,yes,no
3,5,2,yekatit,1,quintal,1,magna,cash,1100,1100,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,3,own and other donkeys,30,60,300,man,100,,no,,no,no,yes,no
3,5,5,ginbot,3,quintal,3,magna,cash,3660,1220,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,3,own and other donkeys,15,60,180,man,100,,no,,no,no,yes,no
3,5,4,miazia,1,quintal,1,magna,cash,1210,1210,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,2,own and other donkeys,0,60,120,man,100,,no,,no,no,yes,no
4,2,1,yekatit,4,small madaberia,2,white,cash,1600,800,at wholesale market: traveling trader going to addis,i trust his weighing,trader shop (fixed),yes,yes,2,own and other donkeys,0,60,30,man,100,,no,,no,no,yes,no
4,2,2,yekatit,2,small madaberia,1,magna,cash,900,900,at wholesale market: traveling trader going to addis,i trust his weighing,trader shop (fixed),yes,yes,2,own donkey,0,60,30,man,100,,no,,no,no,yes,no
5,1,1,ginbot,7,big madaberia,4.5999999,white,cash,3680,800,at wholesale market: traveling trader going to addis,there is no real difference with other traders,trader shop (fixed),yes,yes,3,own donkey,10,60,15,man,100,,no,,no,no,no,
6,1,1,sene,9,quintal,9,magna,cash,12150,1350,at wholesale market: traveling trader going to addis,the buyer  is a relative,roadside,no,yes,2,motorized vehicle,50,1,30,man,100,,yes,yes,no,no,no,
7,3,2,tahisas,1,small madaberia,.60000002,magna,cash,510,1230,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,no,,own donkey,50,210,100,man,100,,no,,no,no,yes,yes
7,3,1,yekatit,9,small madaberia,5.5500002,magna,cash,4995,900,"trader with fixed shop, selling teff elsewhere",he gives higher prices,cooperative,no,no,,own and other donkeys,30,30,120,man,100,,no,,yes,no,yes,yes
7,3,3,tir,1,small madaberia,.60000002,magna,cash,540,900,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,no,,own donkey,25,210,30,man,100,,no,,no,no,yes,yes
8,2,2,yekatit,3,big madaberia,1.8,magna,cash,1890,1050,at wholesale market: traveling trader going to addis,there is no real difference with other traders,trader shop (fixed),yes,yes,2,own donkey,30,210,30,man,100,,no,,no,no,yes,yes
8,2,1,tahisas,3,big madaberia,1,white,cash,1300,1300,at wholesale market: traveling trader going to addis,there is no real difference with other traders,trader shop (fixed),yes,yes,6,own donkey,30,210,30,man,100,,no,,no,no,yes,yes
9,1,1,ginbot,1,quintal,1,magna,cash,1300,1300,"trader with fixed shop, selling teff to addis",i trust his weighing,trader shop (fixed),yes,no,,own donkey,10,180,60,man,100,,no,,no,no,no,
10,4,2,megabit,1,quintal,1,magna,cash,800,800,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,3,own donkey,15,180,90,man,100,,no,,no,no,no,
