hhid,sectionn1,sectionn3,sectionn4,sectionn5
11,axe(metrebia),yes,3,120
11,pick-axe (doma),no,,
11,sickle,yes,2,100
11,plough (include all related parts),yes,1,100
11,yoke,yes,1,80
11,hay fork,no,,
11,shovel,yes,1,60
11,hoe,yes,1,40
11,winnower,yes,2,80
11,horse/donkey cart for agriculture,no,,
11,water pump,no,,
11,tractor/hand-held motorized tiller,no,,
11,chemical sprayer (mercha),no,,
11,improved charcoal/wood stove,no,,
11,kerosene stove,no,,
11,modern bed,no,,
11,sofa/couch,no,,
11,modern chair,no,,
11,modern table,no,,
11,radio,yes,1,200
11,television,no,,
11,electric fan,no,,
11,mobile phone,no,,
11,bicycle,no,,
11,motorbike,no,,
11,car or truck,no,,
11,grain mill house,no,,
11,sewing machine,no,,
12,axe(metrebia),yes,4,80
12,pick-axe (doma),no,,
12,sickle,yes,4,60
12,plough (include all related parts),yes,1,100
12,yoke,yes,1,40
12,hay fork,yes,3,15
12,shovel,no,,
12,hoe,yes,2,30
12,winnower,yes,1,10
12,horse/donkey cart for agriculture,no,,
12,water pump,no,,
12,tractor/hand-held motorized tiller,no,,
12,chemical sprayer (mercha),no,,
12,improved charcoal/wood stove,no,,
12,kerosene stove,no,,
12,modern bed,no,,
12,sofa/couch,yes,1,20
12,modern chair,yes,1,20
12,modern table,no,,
12,radio,yes,1,200
12,television,no,,
12,electric fan,no,,
12,mobile phone,no,,
12,bicycle,no,,
12,motorbike,no,,
12,car or truck,no,,
12,grain mill house,no,,
12,sewing machine,no,,
13,axe(metrebia),yes,4,100
13,pick-axe (doma),,,
13,sickle,yes,3,110
13,plough (include all related parts),yes,2,140
13,yoke,yes,1,70
13,hay fork,yes,5,30
13,shovel,no,,
13,hoe,yes,3,20
13,winnower,yes,2,100
13,horse/donkey cart for agriculture,no,,
13,water pump,no,,
13,tractor/hand-held motorized tiller,no,,
13,chemical sprayer (mercha),no,,
13,improved charcoal/wood stove,no,,
13,kerosene stove,no,,
13,modern bed,yes,1,150
13,sofa/couch,no,,
13,modern chair,yes,3,180
13,modern table,yes,1,150
13,radio,yes,1,250
13,television,no,,
13,electric fan,no,,
13,mobile phone,yes,1,480
13,bicycle,no,,
13,motorbike,no,,
13,car or truck,no,,
13,grain mill house,no,,
13,sewing machine,no,,
14,axe(metrebia),yes,2,20
14,pick-axe (doma),yes,1,48
14,sickle,yes,2,95
14,plough (include all related parts),yes,1,100
14,yoke,yes,1,50
14,hay fork,yes,2,60
14,shovel,yes,1,48
14,hoe,yes,1,40
14,winnower,yes,1,20
14,horse/donkey cart for agriculture,no,,
14,water pump,no,,
14,tractor/hand-held motorized tiller,no,,
14,chemical sprayer (mercha),no,,
14,improved charcoal/wood stove,no,,
14,kerosene stove,no,,
14,modern bed,no,,
14,sofa/couch,no,,
14,modern chair,no,,
14,modern table,no,,
14,radio,no,,
14,television,no,,
14,electric fan,no,,
14,mobile phone,no,,
14,bicycle,no,,
14,motorbike,no,,
14,car or truck,no,,
14,grain mill house,no,,
14,sewing machine,no,,
15,axe(metrebia),yes,5,270
15,pick-axe (doma),no,,
15,sickle,yes,2,120
15,plough (include all related parts),yes,1,160
15,yoke,yes,2,100
15,hay fork,yes,10,100
15,shovel,yes,1,80
15,hoe,yes,1,15
15,winnower,no,,
15,horse/donkey cart for agriculture,no,,
15,water pump,no,,
15,tractor/hand-held motorized tiller,no,,
15,chemical sprayer (mercha),no,,
15,improved charcoal/wood stove,no,,
