hhid,sectiono1,sectiono3,sectiono4,sectiono5
11,calves,no,,
11,bulls,no,,
11,oxen,no,,
11,heifer,no,,
11,cows,yes,1,8000
11,young bulls,no,,
11,sheep,yes,2,1800
11,goats,no,,
11,horses,no,,
11,donkeys,no,,
11,mules,no,,
11,camels,no,,
11,pigs,no,,
11,chickens,no,,
11,ducks/geese,no,,
11,beehives,no,,
11,other,no,,
12,calves,yes,1,1000
12,bulls,no,,
12,oxen,yes,2,14000
12,heifer,yes,1,3000
12,cows,no,,
12,young bulls,no,,
12,sheep,no,,
12,goats,yes,3,3000
12,horses,no,,
12,donkeys,yes,2,2000
12,mules,no,,
12,camels,no,,
12,pigs,no,,
12,chickens,no,,
12,ducks/geese,no,,
12,beehives,yes,2,150
12,other,no,,
13,calves,yes,2,3500
13,bulls,no,,
13,oxen,yes,2,1200
13,heifer,no,,
13,cows,yes,2,15000
13,young bulls,no,,
13,sheep,no,,
13,goats,no,,
13,horses,no,,
13,donkeys,yes,1,1600
13,mules,no,,
13,camels,no,,
13,pigs,no,,
13,chickens,no,,
13,ducks/geese,no,,
13,beehives,yes,5,1000
14,calves,yes,1,2000
14,bulls,no,,
14,oxen,yes,3,24000
14,heifer,no,,
14,cows,yes,1,
14,young bulls,yes,1,6000
14,sheep,yes,1,980
14,goats,no,,
14,horses,no,,
14,donkeys,yes,2,2500
14,mules,no,,
14,camels,no,,
14,pigs,no,,
14,chickens,no,,
14,ducks/geese,no,,
14,beehives,yes,3,2400
15,calves,yes,1,1000
15,bulls,yes,1,6000
15,oxen,yes,1,8000
15,heifer,no,,
15,cows,yes,1,5000
15,young bulls,yes,1,4000
15,sheep,yes,4,4000
15,goats,no,,
15,horses,no,,
15,donkeys,no,,
15,mules,no,,
15,camels,no,,
15,pigs,no,,
15,chickens,yes,2,100
15,ducks/geese,no,,
15,beehives,no,,
16,calves,no,,
16,bulls,no,,
16,oxen,yes,2,14000
16,heifer,no,,
16,cows,no,,
16,young bulls,no,,
16,sheep,no,,
16,goats,no,,
16,horses,no,,
16,donkeys,no,,
16,mules,no,,
16,camels,no,,
16,pigs,no,,
16,chickens,no,,
16,ducks/geese,no,,
16,beehives,no,,
17,calves,no,,
17,bulls,no,,
17,oxen,yes,4,32000
17,heifer,no,,
17,cows,yes,1,500
17,young bulls,no,,
17,sheep,yes,2,2800
17,goats,no,,
17,horses,no,,
17,donkeys,yes,2,2000
17,mules,no,,
17,camels,no,,
17,pigs,no,,
17,chickens,yes,1,60
17,ducks/geese,no,,
17,beehives,yes,2,200
18,calves,no,,
18,bulls,no,,
18,oxen,yes,1,10000
18,heifer,no,,
18,cows,no,,
18,young bulls,no,,
18,sheep,yes,3,1500
18,goats,no,,
18,horses,no,,
18,donkeys,no,,
18,mules,no,,
18,camels,no,,
18,pigs,no,,
18,chickens,yes,3,130
18,ducks/geese,no,,
18,beehives,no,,
18,other,no,,
19,calves,yes,1,1500
19,bulls,no,,
19,oxen,yes,4,40000
19,heifer,yes,1,3000
19,cows,yes,1,500
19,young bulls,no,,
19,sheep,no,,
19,goats,yes,6,8500
19,horses,no,,
19,donkeys,yes,2,2000
19,mules,no,,
19,camels,no,,
19,pigs,no,,
19,chickens,no,,
19,ducks/geese,no,,
19,beehives,yes,4,1200
20,calves,no,,
20,bulls,no,,
20,oxen,yes,1,11000
20,heifer,no,,
20,cows,no,,
20,young bulls,no,,
20,sheep,no,,
20,goats,no,,
20,horses,no,,
20,donkeys,no,,
20,mules,no,,
20,camels,no,,
20,pigs,no,,
20,chickens,no,,
20,ducks/geese,no,,
20,beehives,no,,
21,calves,no,,
21,bulls,no,,
21,oxen,no,,
21,heifer,no,,
21,cows,no,,
21,young bulls,no,,
21,sheep,no,,
21,goats,no,,
21,horses,no,,
21,donkeys,no,,
21,mules,no,,
21,camels,no,,
21,pigs,no,,
21,chickens,no,,
21,ducks/geese,no,,
21,beehives,no,,
21,other,no,,
22,calves,no,,
22,bulls,no,,
22,oxen,yes,2,14000
22,heifer,yes,1,4000
22,cows,no,,
22,young bulls,no,,
22,sheep,no,,
22,goats,no,,
22,horses,no,,
22,donkeys,no,,
22,mules,no,,
22,camels,no,,
22,pigs,no,,
22,chickens,no,,
22,ducks/geese,no,,
22,beehives,no,,
22,other,no,,
23,calves,no,,
23,bulls,no,,
23,oxen,no,,
23,heifer,no,,
23,cows,yes,1,6000
23,sheep,yes,1,3500
23,goats,no,,
23,horses,no,,
23,donkeys,no,,
23,mules,no,,
23,camels,no,,
23,pigs,no,,
23,chickens,no,,
23,ducks/geese,no,,
23,beehives,no,,
23,other,no,,
24,calves,no,,
24,bulls,no,,
24,oxen,no,,
24,heifer,no,,
24,cows,yes,1,8000
24,young bulls,yes,1,8000
24,sheep,no,,
24,goats,no,,
24,horses,no,,
24,donkeys,yes,1,1500
24,mules,no,,
24,camels,no,,
24,pigs,no,,
24,chickens,no,,
24,ducks/geese,no,,
24,beehives,no,,
25,calves,no,,
25,bulls,no,,
25,oxen,yes,2,18000
25,heifer,no,,
25,cows,no,,
25,young bulls,no,,
25,sheep,yes,2,3000
25,goats,no,,
25,horses,no,,
25,donkeys,yes,2,2500
25,mules,no,,
25,camels,no,,
25,pigs,no,,
25,chickens,yes,4,400
25,ducks/geese,no,,
25,beehives,no,,
26,calves,yes,1,100
26,bulls,no,,
26,oxen,yes,1,8000
26,heifer,no,,
26,cows,yes,1,5000
26,young bulls,no,,
26,sheep,no,,
26,goats,no,,
26,horses,no,,
26,donkeys,yes,2,2000
26,mules,no,,
26,camels,no,,
26,pigs,no,,
26,chickens,yes,1,40
26,ducks/geese,no,,
26,beehives,no,,
27,calves,yes,1,2000
27,bulls,no,,
27,oxen,yes,2,15000
27,heifer,no,,
27,cows,yes,1,5000
27,young bulls,no,,
27,sheep,no,,
27,goats,no,,
27,horses,no,,
27,donkeys,yes,1,1000
27,mules,no,,
27,camels,no,,
27,pigs,no,,
27,chickens,yes,7,280
27,ducks/geese,no,,
27,beehives,no,,
28,calves,no,,
28,bulls,no,,
28,oxen,yes,1,6000
28,heifer,no,,
28,cows,no,,
28,young bulls,no,,
28,sheep,yes,3,3000
28,goats,no,,
28,horses,no,,
28,donkeys,no,,
28,mules,no,,
28,camels,no,,
28,pigs,no,,
28,chickens,no,,
28,ducks/geese,no,,
28,beehives,no,,
28,other,no,,
29,calves,no,,
29,bulls,no,,
29,oxen,no,,
29,heifer,no,,
29,cows,no,,
29,young bulls,no,,
29,sheep,no,,
29,goats,no,,
29,horses,no,,
29,donkeys,no,,
29,mules,no,,
29,camels,no,,
29,pigs,no,,
29,chickens,no,,
29,ducks/geese,no,,
29,beehives,no,,
29,other,no,,
30,calves,yes,2,10000
30,bulls,no,,
30,oxen,yes,3,15000
30,heifer,no,,
30,cows,yes,2,10000
30,young bulls,no,,
30,sheep,yes,7,7000
30,goats,no,,
30,horses,no,,
30,donkeys,yes,2,2000
30,mules,no,,
30,camels,no,,
30,pigs,no,,
30,chickens,yes,5,200
30,ducks/geese,no,,
30,beehives,yes,4,1400
30,other,no,,
354,calves,no,,
354,bulls,no,,
354,oxen,no,,
354,heifer,no,,
354,cows,no,,
354,young bulls,no,,
354,sheep,no,,
354,goats,yes,4,1600
354,horses,no,,
354,donkeys,no,,
354,mules,no,,
354,camels,no,,
354,pigs,no,,
354,chickens,yes,2,100
354,ducks/geese,no,,
354,beehives,no,,
354,other,no,,
355,calves,yes,1,1400
355,bulls,no,,
355,oxen,yes,4,20000
355,heifer,yes,1,3000
355,cows,yes,1,2500
355,young bulls,yes,1,5500
355,sheep,no,,
355,goats,yes,4,2000
355,horses,no,,
355,donkeys,yes,1,2000
355,mules,no,,
355,camels,no,,
355,pigs,no,,
355,chickens,yes,2,120
355,ducks/geese,no,,
355,beehives,no,,
355,other,no,,
356,calves,yes,1,500
356,bulls,no,,
356,oxen,yes,4,36000
356,heifer,yes,2,6000
356,cows,yes,4,16000
356,young bulls,yes,1,8000
356,sheep,yes,10,13000
356,goats,yes,30,24300
356,horses,no,,
356,donkeys,yes,2,4000
356,mules,no,,
356,camels,no,,
356,pigs,no,,
356,chickens,yes,10,500
356,ducks/geese,no,,
356,beehives,no,,
356,other,no,,
357,calves,yes,1,500
357,bulls,no,,
357,oxen,yes,2,10000
357,heifer,no,,
357,cows,yes,1,3000
357,young bulls,no,,
357,sheep,no,,
357,goats,yes,2,1400
357,horses,no,,
357,donkeys,yes,3,3600
357,mules,no,,
357,camels,no,,
357,pigs,no,,
357,chickens,yes,10,700
357,ducks/geese,no,,
357,beehives,no,,
357,other,no,,
358,calves,yes,1,200
358,bulls,no,,
358,oxen,yes,2,16000
358,heifer,yes,1,2500
358,cows,yes,1,3000
358,young bulls,no,,
358,sheep,yes,4,3400
358,goats,yes,3,2100
358,horses,no,,
358,donkeys,yes,2,4000
358,mules,no,,
358,camels,no,,
358,pigs,no,,
358,chickens,yes,4,230
358,ducks/geese,no,,
358,beehives,no,,
358,other,no,,
359,calves,yes,1,200
359,bulls,no,,
359,oxen,yes,2,8000
359,heifer,yes,2,2400
359,cows,yes,3,6000
359,young bulls,yes,1,3000
359,sheep,yes,4,2800
359,goats,no,,
359,horses,no,,
359,donkeys,yes,1,2000
359,mules,no,,
359,camels,no,,
359,pigs,no,,
359,chickens,yes,10,500
359,ducks/geese,no,,
359,beehives,no,,
359,other,no,,
31,calves,yes,1,500
31,bulls,yes,1,8000
31,oxen,yes,1,7000
31,heifer,no,,
31,cows,no,,
31,young bulls,yes,1,6000
31,sheep,no,,
31,goats,no,,
31,horses,yes,1,500
31,donkeys,yes,1,500
31,mules,no,,
31,camels,no,,
31,pigs,no,,
31,chickens,yes,1,120
31,ducks/geese,no,,
31,beehives,no,,
31,other,no,,
32,calves,no,,
32,bulls,no,,
32,oxen,yes,2,16000
32,heifer,no,,
32,cows,no,,
32,young bulls,no,,
32,sheep,yes,2,3000
32,goats,no,,
32,horses,no,,
32,donkeys,yes,2,2000
32,mules,no,,
32,camels,no,,
32,pigs,no,,
32,chickens,no,,
32,ducks/geese,no,,
32,beehives,no,,
32,other,no,,
33,calves,yes,1,2000
33,bulls,no,,
33,oxen,yes,1,7000
33,heifer,no,,
33,cows,yes,1,5000
33,young bulls,no,,
33,sheep,no,,
33,goats,no,,
33,horses,no,,
33,donkeys,no,,
33,mules,no,,
33,camels,no,,
33,pigs,no,,
33,chickens,no,,
33,ducks/geese,no,,
33,beehives,no,,
33,other,no,,
34,calves,no,,
34,bulls,yes,1,6000
34,oxen,no,,
34,heifer,no,,
34,cows,no,,
34,young bulls,no,,
34,sheep,no,,
34,goats,yes,1,600
34,horses,no,,
34,donkeys,yes,1,1200
34,mules,no,,
34,camels,no,,
34,pigs,no,,
34,chickens,no,,
34,ducks/geese,no,,
34,beehives,no,,
34,other,no,,
35,calves,no,,
35,bulls,no,,
35,oxen,yes,2,13000
35,heifer,yes,1,4000
35,cows,no,,
35,young bulls,no,,
35,sheep,no,,
35,goats,no,,
35,horses,no,,
35,donkeys,no,,
35,mules,no,,
35,camels,no,,
35,pigs,no,,
35,chickens,no,,
35,ducks/geese,no,,
35,beehives,no,,
35,other,no,,
36,calves,no,,
36,bulls,no,,
36,oxen,yes,2,1400
36,heifer,no,,
36,cows,yes,1,6000
36,young bulls,no,,
36,sheep,yes,4,2000
36,goats,no,,
36,horses,no,,
36,donkeys,yes,1,1500
36,mules,no,,
36,camels,no,,
36,pigs,no,,
36,chickens,yes,2,80
36,ducks/geese,no,,
36,beehives,no,,
36,other,no,,
121,calves,no,,
121,bulls,yes,1,3000
121,oxen,yes,4,12000
121,heifer,yes,2,4000
121,cows,yes,2,10000
121,young bulls,no,,
121,sheep,yes,12,6000
121,goats,no,,
121,horses,no,,
121,donkeys,yes,4,10000
121,mules,no,,
121,camels,no,,
121,pigs,no,,
121,chickens,yes,11,550
121,ducks/geese,no,,
121,beehives,no,,
121,other,no,,
122,calves,yes,1,700
122,bulls,no,,
122,oxen,yes,2,13500
122,heifer,no,,
122,cows,yes,1,3000
122,young bulls,no,,
122,sheep,no,,
122,goats,no,,
122,horses,no,,
122,donkeys,yes,2,3000
122,mules,no,,
122,camels,no,,
122,pigs,no,,
122,chickens,no,,
122,ducks/geese,no,,
122,beehives,no,,
122,other,no,,
123,calves,yes,1,1500
123,bulls,yes,1,7000
123,oxen,yes,4,40000
123,heifer,no,,
123,cows,yes,1,5000
123,young bulls,no,,
123,sheep,yes,4,4000
123,goats,no,,
123,horses,no,,
123,donkeys,yes,3,6000
123,mules,no,,
123,camels,no,,
123,pigs,no,,
123,chickens,no,,
123,ducks/geese,no,,
123,beehives,no,,
123,other,no,,
124,calves,yes,1,900
124,bulls,no,,
124,oxen,yes,1,7000
124,heifer,yes,3,4500
124,cows,yes,2,7000
124,young bulls,yes,1,1500
124,sheep,no,,
124,goats,no,,
124,horses,no,,
124,donkeys,no,,
124,mules,no,,
124,camels,no,,
124,pigs,no,,
124,chickens,no,,
124,ducks/geese,no,,
124,beehives,no,,
124,other,no,,
125,calves,yes,1,1000
125,bulls,no,,
125,oxen,yes,1,4000
125,heifer,no,,
125,cows,yes,1,3000
125,young bulls,no,,
125,sheep,yes,5,3750
125,goats,no,,
125,horses,no,,
125,donkeys,yes,1,2000
125,mules,no,,
125,camels,no,,
125,pigs,no,,
125,chickens,yes,4,400
125,ducks/geese,no,,
125,beehives,no,,
125,other,no,,
126,calves,no,,
126,bulls,no,,
126,oxen,yes,2,6200
126,heifer,yes,1,2000
126,cows,no,,
126,young bulls,yes,1,2000
126,sheep,no,,
126,goats,no,,
126,horses,no,,
126,donkeys,yes,1,800
126,mules,no,,
126,camels,no,,
126,pigs,no,,
126,chickens,no,,
126,ducks/geese,no,,
126,beehives,no,,
126,other,no,,
127,calves,yes,2,3000
127,bulls,yes,1,3500
127,oxen,yes,5,30000
127,heifer,no,,
127,cows,yes,2,8000
127,young bulls,no,,
127,sheep,yes,10,6000
127,goats,no,,
127,horses,no,,
127,donkeys,yes,5,11000
127,mules,no,,
127,camels,no,,
127,pigs,no,,
127,chickens,yes,20,2000
127,ducks/geese,no,,
127,beehives,no,,
127,other,no,,
129,calves,yes,1,1000
129,bulls,no,,
129,oxen,yes,4,44000
129,heifer,yes,3,9000
129,cows,yes,2,10000
129,young bulls,yes,4,24000
129,sheep,yes,6,4200
129,goats,no,,
129,horses,no,,
129,donkeys,yes,5,15000
129,mules,no,,
129,camels,no,,
129,pigs,no,,
129,chickens,yes,16,2000
129,ducks/geese,no,,
129,beehives,no,,
129,other,no,,
130,calves,no,,
130,bulls,no,,
130,oxen,yes,2,20000
130,heifer,no,,
130,cows,no,,
130,young bulls,no,,
130,sheep,no,,
130,goats,no,,
130,horses,no,,
130,donkeys,yes,1,2000
130,mules,no,,
130,camels,no,,
130,pigs,no,,
130,chickens,yes,16,1450
130,ducks/geese,no,,
130,beehives,no,,
130,other,no,,
131,calves,no,,
131,bulls,no,,
131,oxen,yes,5,20000
131,heifer,yes,2,4000
131,cows,yes,3,12000
131,young bulls,no,,
131,sheep,yes,8,3200
131,goats,yes,5,1200
131,horses,no,,
131,donkeys,yes,5,5000
131,mules,no,,
131,camels,no,,
131,pigs,no,,
131,chickens,yes,10,530
131,ducks/geese,no,,
131,beehives,no,,
131,other,no,,
132,calves,yes,2,900
132,bulls,no,,
132,oxen,yes,4,28000
132,heifer,no,,
132,cows,yes,2,6000
132,young bulls,no,,
132,sheep,no,,
132,goats,yes,1,700
132,horses,no,,
132,donkeys,yes,2,3400
132,mules,yes,1,10000
132,camels,no,,
132,pigs,no,,
132,chickens,no,,
132,ducks/geese,no,,
132,beehives,no,,
132,other,no,,
133,calves,no,,
133,bulls,no,,
133,oxen,no,,
133,heifer,no,,
133,cows,no,,
133,young bulls,no,,
133,sheep,no,,
133,goats,no,,
133,horses,no,,
133,donkeys,no,,
133,mules,no,,
133,camels,no,,
133,pigs,no,,
133,chickens,yes,2,120
133,ducks/geese,no,,
133,beehives,no,,
133,other,no,,
134,calves,no,,
134,bulls,no,,
134,oxen,yes,4,40000
134,heifer,yes,1,6000
134,cows,yes,2,14000
134,young bulls,no,,
134,sheep,no,,
134,goats,yes,2,1400
134,horses,yes,1,7000
134,donkeys,yes,2,3000
134,mules,no,,
134,camels,no,,
134,pigs,no,,
134,chickens,yes,3,300
134,ducks/geese,no,,
134,beehives,no,,
134,other,no,,
135,calves,yes,2,1800
135,bulls,no,,
135,oxen,yes,4,36000
135,heifer,no,,
135,cows,yes,1,8000
135,young bulls,yes,1,7000
135,sheep,no,,
135,goats,no,,
135,horses,no,,
135,donkeys,yes,2,4400
135,mules,no,,
135,camels,no,,
135,pigs,no,,
135,chickens,no,,
135,ducks/geese,no,,
135,beehives,no,,
135,other,no,,
136,calves,yes,1,300
136,bulls,no,,
136,oxen,yes,2,11000
136,heifer,yes,1,2000
136,cows,yes,1,7000
136,young bulls,no,,
136,sheep,no,,
136,goats,no,,
136,horses,no,,
136,donkeys,yes,1,1500
136,mules,no,,
136,camels,no,,
136,pigs,no,,
136,chickens,yes,15,1600
136,ducks/geese,no,,
136,beehives,no,,
136,other,no,,
137,calves,no,,
137,bulls,no,,
137,oxen,yes,1,10000
137,heifer,no,,
137,cows,no,,
137,young bulls,no,,
137,sheep,no,,
137,goats,no,,
137,horses,no,,
137,donkeys,yes,2,3000
137,mules,no,,
137,camels,no,,
137,pigs,no,,
137,chickens,yes,10,1000
137,ducks/geese,no,,
137,beehives,no,,
137,other,no,,
138,calves,no,,
138,bulls,no,,
138,oxen,yes,2,30000
138,heifer,no,,
138,cows,no,,
138,young bulls,no,,
138,sheep,no,,
138,goats,no,,
138,horses,no,,
138,donkeys,yes,2,4000
138,mules,no,,
138,camels,no,,
138,pigs,no,,
138,chickens,yes,8,600
138,ducks/geese,no,,
138,beehives,no,,
138,other,no,,
139,calves,yes,3,6000
139,bulls,yes,2,18000
139,oxen,yes,6,60000
139,heifer,no,,
139,cows,yes,3,24000
139,young bulls,yes,2,6000
139,sheep,yes,8,2400
139,goats,yes,2,1000
139,horses,no,,
139,donkeys,yes,4,12000
139,mules,no,,
139,camels,no,,
139,pigs,no,,
139,chickens,yes,15,2250
139,ducks/geese,no,,
139,beehives,no,,
139,other,no,,
140,calves,no,,
140,bulls,no,,
140,oxen,yes,4,33000
140,heifer,no,,
140,cows,yes,1,5000
140,young bulls,no,,
140,sheep,no,,
140,goats,yes,6,3600
140,horses,no,,
140,donkeys,yes,2,5000
140,mules,no,,
140,camels,no,,
140,pigs,no,,
140,chickens,yes,20,1600
140,ducks/geese,no,,
140,beehives,no,,
140,other,no,,
141,calves,no,,
141,bulls,no,,
141,oxen,yes,2,14000
141,heifer,no,,
141,cows,no,,
141,young bulls,no,,
141,sheep,yes,6,3000
141,goats,no,,
141,horses,no,,
141,donkeys,yes,1,2500
141,mules,no,,
141,camels,no,,
141,pigs,no,,
141,chickens,yes,10,400
141,ducks/geese,no,,
141,beehives,no,,
141,other,no,,
142,calves,yes,2,900
142,bulls,no,,
142,oxen,yes,9,63000
142,heifer,yes,1,6000
142,cows,yes,3,12000
142,young bulls,no,,
142,sheep,yes,4,640
142,goats,yes,12,7200
142,horses,no,,
142,donkeys,yes,5,10350
142,mules,no,,
142,camels,no,,
142,pigs,no,,
142,chickens,yes,4,420
142,ducks/geese,no,,
142,beehives,no,,
142,other,no,,
143,calves,no,,
143,bulls,no,,
143,oxen,yes,1,5000
143,heifer,no,,
143,cows,no,,
143,young bulls,no,,
143,sheep,yes,2,1400
143,goats,no,,
143,horses,no,,
143,donkeys,yes,1,3000
143,mules,no,,
143,camels,no,,
143,pigs,no,,
143,chickens,yes,4,300
143,ducks/geese,no,,
143,beehives,no,,
143,other,no,,
144,calves,yes,1,1000
144,bulls,no,,
